搜索城市,搜索词,名称,地址,点评数量,详情url
南京,酒店,南京南林大厦,江苏省南京市玄武区龙蟠路161号(火车站地区国际展览中心对面),,https://map.qq.com/poi/?sm=13149639432615096951&keyfrom=1
南京,酒店,福音山庄(牛首山风景区店),"江苏省南京市雨花台区将军山风景区1号(牛首山风景区北门,圣象广场旁)",,https://map.qq.com/poi/?sm=13741195843637936799&keyfrom=1
南京,酒店,格林豪泰(奥体中心酒店),江苏省南京市建邺区雨润大街19-4号(雨润大街地铁站1号口步行320米),,https://map.qq.com/poi/?sm=267732853656131138&keyfrom=1
南京,酒店,清沐酒店(南京雨花台区油坊桥地铁站店),江苏省南京市雨花台区西善桥北路9-14号,,https://map.qq.com/poi/?sm=5219099913831587580&keyfrom=1
南京,酒店,南京凯旋假日大酒店,江苏省南京市六合区雄州街道公园路23号(近六合二中),,https://map.qq.com/poi/?sm=5152499274346308171&keyfrom=1
南京,酒店,南京紫京饭店,江苏省南京市玄武区双拜岗路晏公庙53号院2号楼,,https://map.qq.com/poi/?sm=3208195243377540870&keyfrom=1
南京,酒店,书香世家酒店(新街口三元巷店),江苏省南京市秦淮区三元巷7号,,https://map.qq.com/poi/?sm=14656500013822291152&keyfrom=1
南京,酒店,汉庭优佳酒店(南京新街口中心店),江苏省南京市秦淮区淮海路2号,,https://map.qq.com/poi/?sm=11885419322764405236&keyfrom=1
南京,酒店,怡莱精品酒店(南京龙眠大道地铁站店),江苏省南京市江宁区天元东路358号(龙眠大道地铁义乌商品城出口向西200米),,https://map.qq.com/poi/?sm=3144795733955208337&keyfrom=1
南京,酒店,汉庭酒店(南京东南大学诚信大道地铁站店),江苏省南京市江宁区诚信大道990号(优尚天地2号楼),,https://map.qq.com/poi/?sm=4397737933619752162&keyfrom=1
南京,酒店,南京龙华大酒店,江苏省南京市浦口区龙华路2号龙华美食街附近,,https://map.qq.com/poi/?sm=16682491119675683964&keyfrom=1
南京,酒店,全季酒店(南京虹桥中山北路店),江苏省南京市鼓楼区中山北路219号宏图大厦,,https://map.qq.com/poi/?sm=8110103920959543779&keyfrom=1
南京,酒店,新华传媒大酒店,江苏省南京市建邺区江东中路363号(元通地铁站4号口步行480米),,https://map.qq.com/poi/?sm=12077992314453816189&keyfrom=1
南京,酒店,南京八卦洲假日山庄,"江苏省南京市栖霞区八卦洲鹂岛路-,近八卦洲码头",,https://map.qq.com/poi/?sm=9258546508013586664&keyfrom=1
南京,酒店,南京圣和府邸豪华精选酒店,"江苏省南京市玄武区长江路300号(近总统府,1912)",,https://map.qq.com/poi/?sm=8672620993672272326&keyfrom=1
南京,酒店,如家酒店·neo(南京夫子庙店),江苏省南京市秦淮区建康路状元境41号,,https://map.qq.com/poi/?sm=14031889915604382023&keyfrom=1
南京,酒店,如家商旅酒店(南京新街口张府园地铁站店),江苏省南京市秦淮区中山南路234号(张府园地铁站1号出来向北200米左拐即到),,https://map.qq.com/poi/?sm=16078219372876861970&keyfrom=1
南京,酒店,汉庭酒店(南京五塘广场酒店),"江苏省南京市鼓楼区幕府西路29号金域中央广场1,8-17层",,https://map.qq.com/poi/?sm=16661832156213097798&keyfrom=1
南京,酒店,南京高楼门饭店,江苏省南京市玄武区高楼门62号,,https://map.qq.com/poi/?sm=10990800471279326946&keyfrom=1
南京,酒店,南京金陵大厦,江苏省南京市鼓楼区汉中门大街48号,,https://map.qq.com/poi/?sm=13725850597028939135&keyfrom=1
南京,酒店,南京华泰万丽酒店,江苏省南京市建邺区奥体大街139号,,https://map.qq.com/poi/?sm=1583624174582312709&keyfrom=1
南京,酒店,南京京西宾馆(龙江地铁站草场门大街店),江苏省南京市鼓楼区草场门大街111号,,https://map.qq.com/poi/?sm=5120529177387060894&keyfrom=1
南京,酒店,维也纳酒店(南京夫子庙中华门店),"江苏省南京市秦淮区雨花路68号(近老门东,大报恩寺遗址景区对面)",,https://map.qq.com/poi/?sm=3086633484266078752&keyfrom=1
南京,酒店,六朝瑞庭大酒店中山陵青年旅馆店,江苏省南京市玄武区石象路7号,,https://map.qq.com/poi/?sm=8538291753272341099&keyfrom=1
南京,酒店,国际青年会议酒店,江苏省南京市建邺区邺城路8号,,https://map.qq.com/poi/?sm=8000156971447764156&keyfrom=1
南京,酒店,金鹰国际酒店,江苏省南京市秦淮区汉中路101号,,https://map.qq.com/poi/?sm=2269040910660926071&keyfrom=1
南京,酒店,南京总统府亚朵酒店,江苏省南京市秦淮区中山东路486号(西安门地铁站3号口步行310米),,https://map.qq.com/poi/?sm=6954378027185539279&keyfrom=1
南京,酒店,南京金鹰尚美酒店,江苏省南京市江宁区双龙大道1688号金鹰国际购物中心5层,,https://map.qq.com/poi/?sm=4203458045042870862&keyfrom=1
南京,酒店,汉庭酒店(南京新街口张府园地铁站店),江苏省南京市秦淮区建邺路76号,,https://map.qq.com/poi/?sm=17623923052099693616&keyfrom=1
南京,酒店,南京丽湖雅致酒店,江苏省南京市江宁区开发区双龙大道1528号(江宁会展中心),,https://map.qq.com/poi/?sm=3521925362605464133&keyfrom=1
南京,酒店,桔子水晶南京总统府中山东路酒店,江苏省南京市秦淮区中山东路472号(西安门地铁站3号口步行380米),,https://map.qq.com/poi/?sm=6619168387965450787&keyfrom=1
南京,酒店,汉庭南京新街口华侨路酒店,"江苏省南京市鼓楼区华侨路81号(太平洋建设,大地建设对面)",,https://map.qq.com/poi/?sm=6045523642018154240&keyfrom=1
南京,酒店,维也纳国际酒店(南京南站中心店),江苏省南京市江宁区胜利西路9号(距地铁3号线胜太西路地铁站3号出口150米),,https://map.qq.com/poi/?sm=7803433044506186403&keyfrom=1
南京,酒店,维也纳酒店(南京龙江店),江苏省南京市鼓楼区龙园中路月光广场8号,,https://map.qq.com/poi/?sm=9776208478689175293&keyfrom=1
南京,酒店,南京夫子庙亚朵酒店,江苏省南京市秦淮区建康路185号(地铁3号线夫子庙站4号出口旁),,https://map.qq.com/poi/?sm=8157881907396128748&keyfrom=1
