搜索城市,搜索词,名称,地址,点评数量,详情url
南京,美食,南京玉鹏大酒店,"江苏省南京市六合区文昌街80-2号(距地铁S8号线凤凰山公园站700米,近欢乐港)",,https://map.qq.com/poi/?sm=3664806782035665228&keyfrom=1
南京,美食,小龙大肉面馆,江苏省南京市秦淮区双桥门28号(雨花门地铁站4号口步行430米),16条点评,https://map.qq.com/poi/?sm=17480200914672186080&keyfrom=1
南京,美食,同庆楼(南京常发广场店),江苏省南京市玄武区红山路88号南京常发广场F4,15条点评,https://map.qq.com/poi/?sm=9127538786896818683&keyfrom=1
南京,美食,海底捞火锅(大观天地店),江苏省南京市鼓楼区建宁路300号大观天地MALLF2,,https://map.qq.com/poi/?sm=4909997614808849203&keyfrom=1
南京,美食,老北京涮羊肉,江苏省南京市秦淮区解放路46-7号(中国邮政储蓄银行对面),15条点评,https://map.qq.com/poi/?sm=10097777808118813309&keyfrom=1
南京,美食,丈母娘的饭局·新金陵菜(龙江店),江苏省南京市鼓楼区石头城路81号(格林豪泰酒店北邻),15条点评,https://map.qq.com/poi/?sm=11939116247112497584&keyfrom=1
南京,美食,江宴海鲜大酒店(升州路店),"江苏省南京市秦淮区升州路1号101室,201室,301室",15条点评,https://map.qq.com/poi/?sm=17165786305970424269&keyfrom=1
南京,美食,富临轩私房菜(集庆门大街店),江苏省南京市建邺区集庆门大街188号,15条点评,https://map.qq.com/poi/?sm=9999145128625551416&keyfrom=1
南京,美食,南京大牌档(金鹰世界店),江苏省南京市建邺区应天大街888号金鹰世界L8,15条点评,https://map.qq.com/poi/?sm=9041844778087237715&keyfrom=1
南京,美食,海底捞火锅(新世界百货店),江苏省南京市玄武区珠江路88号新世界百货F5,,https://map.qq.com/poi/?sm=10768948098090593819&keyfrom=1
南京,美食,东旺妈妈菜(同曦·万尚城店),江苏省南京市江宁区胜太东路8号1幢101,15条点评,https://map.qq.com/poi/?sm=5739272872499501332&keyfrom=1
南京,美食,顺心拉面馆(马道街店),江苏省南京市秦淮区马道街150号(武定门地铁站2号口步行70米),15条点评,https://map.qq.com/poi/?sm=15384439476012895088&keyfrom=1
南京,美食,御品周庄(后标营店),江苏省南京市秦淮区后标营路88号,15条点评,https://map.qq.com/poi/?sm=1214165607410291422&keyfrom=1
南京,美食,名湖美景大酒店,江苏省南京市玄武区龙蟠路88号国展中心北门1-5楼,,https://map.qq.com/poi/?sm=16300771290117230886&keyfrom=1
南京,美食,十朝院子(夫子庙三山街店),"江苏省南京市秦淮区弓箭坊40号1楼(三山街地铁站1号口,投资大厦兴业银行旁)",15条点评,https://map.qq.com/poi/?sm=11159370960216879023&keyfrom=1
南京,美食,龙吟山房(青龙山庄店),江苏省南京市江宁区上坊镇神凤路888号,16条点评,https://map.qq.com/poi/?sm=3471396293819969690&keyfrom=1
南京,美食,俺家小院·水墨盛宴(徐庄店),江苏省南京市玄武区玄武大道徐庄软件园699-1号,15条点评,https://map.qq.com/poi/?sm=17854637588559491372&keyfrom=1
南京,美食,紫腾大院(光华东街店),江苏省南京市秦淮区光华东街6号世界之窗创业园内,15条点评,https://map.qq.com/poi/?sm=2539421924169098201&keyfrom=1
南京,美食,烟波渔港(江东店),江苏省南京市鼓楼区江东北路86号(威超汽车修理厂南),15条点评,https://map.qq.com/poi/?sm=15807683987588691538&keyfrom=1
南京,美食,农家小院·直营店(丰富路一店),江苏省南京市秦淮区丰富路13号商务局对面,15条点评,https://map.qq.com/poi/?sm=10221197117100713486&keyfrom=1
南京,美食,清真李荣兴菜馆(南湖东路店),江苏省南京市建邺区南湖东路47-2号(南湖一中斜对面),15条点评,https://map.qq.com/poi/?sm=10877452390101001278&keyfrom=1
南京,美食,巴子面馆(玉带园店),江苏省南京市秦淮区玉带园48号102室,15条点评,https://map.qq.com/poi/?sm=12144758959526151853&keyfrom=1
南京,美食,好记·金陵宴(奥体店),江苏省南京市建邺区江东中路223号,,https://map.qq.com/poi/?sm=11335781372441221678&keyfrom=1
南京,美食,浪里白宴会楼(金陵尚府店),江苏省南京市秦淮区大光路118号(工商银行楼上),,https://map.qq.com/poi/?sm=12319144295417185555&keyfrom=1
南京,美食,春盛渔府(佛城东路店),江苏省南京市江宁区佛城东路66号(近河海大学江宁校区),15条点评,https://map.qq.com/poi/?sm=336607953432759442&keyfrom=1
南京,美食,花神湖畔酒店,江苏省南京市雨花台区玉兰路8号,15条点评,https://map.qq.com/poi/?sm=1718558900316387308&keyfrom=1
